 Year, Total fertility rate,,,,,
2001,1.78,,,,,
2002,1.78,,,,,
2003,1.79,,,,,
2004,1.77,,,,,
2005,1.87,,,,,
2006,1.91,,,,,
2007,1.96,,,,,
2008,1.94,,,,,
2009,1.91,,,,,
2010,1.89,,,,,
2011,1.9,,,,,
2012,1.92,,,,,
2013,1.84,,,,,
2014,1.82,,,,,
2015,1.76,,,,,
2016,1.76,,,,,
2017,1.66,,,,,
2018,1.62,,,,,
2019,1.59,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
